Plot,Sowing_Date,Harvest_Date,Yield,Latitude,Longitude,polygon_wkt
AEA101,17/12/2023,,5.2,12.9222,103.28479,"POLYGON ((103.28533527526625 12.922363744299199, 103.28539212898423 12.92228686096583, 103.2852641455942 12.922176963549555, 103.28550422843985 12.921673184834683, 103.28500123076196 12.92134119005949, 103.28494398075026 12.921402587207737, 103.28473885554253 12.921628441905973, 103.28443167039195 12.921982772261545, 103.28423309555585 12.922208210125534, 103.2845404792349 12.922466855349523, 103.28493414198348 12.922802352083288, 103.28501669968335 12.922709143626195, 103.28533527526625 12.922363744299199))"
AEA101,24/10/2024,30/01/2025,6.54,12.92203,103.28482,"POLYGON ((103.28533527526625 12.922363744299199, 103.28539212898423 12.92228686096583, 103.2852641455942 12.922176963549555, 103.28550422843985 12.921673184834683, 103.28500123076196 12.92134119005949, 103.28494398075026 12.921402587207737, 103.28473885554253 12.921628441905973, 103.28443167039195 12.921982772261545, 103.28423309555585 12.922208210125534, 103.2845404792349 12.922466855349523, 103.28493414198348 12.922802352083288, 103.28501669968335 12.922709143626195, 103.28533527526625 12.922363744299199))"
AEA101,25/09/2023,15/12/2023,4.81,12.9222,103.28479,"POLYGON ((103.28533527526625 12.922363744299199, 103.28539212898423 12.92228686096583, 103.2852641455942 12.922176963549555, 103.28550422843985 12.921673184834683, 103.28500123076196 12.92134119005949, 103.28494398075026 12.921402587207737, 103.28473885554253 12.921628441905973, 103.28443167039195 12.921982772261545, 103.28423309555585 12.922208210125534, 103.2845404792349 12.922466855349523, 103.28493414198348 12.922802352083288, 103.28501669968335 12.922709143626195, 103.28533527526625 12.922363744299199))"
AEA102,01/10/2023,05/01/2024,6.29,12.95252,103.26599,"POLYGON ((103.26560726846546 12.95291087572034, 103.26562593697462 12.952912051782121, 103.26634674959418 12.952937512355602, 103.26643895777599 12.9520235593004, 103.2656991015842 12.951934071758611, 103.26560726846546 12.95291087572034))"
AEA102,05/06/2023,22/09/2023,6.29,12.95252,103.26599,"POLYGON ((103.26560726846546 12.95291087572034, 103.26562593697462 12.952912051782121, 103.26634674959418 12.952937512355602, 103.26643895777599 12.9520235593004, 103.2656991015842 12.951934071758611, 103.26560726846546 12.95291087572034))"
AEA103,16/05/2023,09/09/2023,5.46,12.92206,103.29472,"POLYGON ((103.29465511000775 12.921753836008312, 103.29441859504992 12.921651361313979, 103.29438502224788 12.921712367265497, 103.29421685897431 12.922103356321688, 103.2944899239795 12.922224117014027, 103.2948585108581 12.922376717408776, 103.29508052357112 12.922476723046033, 103.2952782281549 12.92202471490636, 103.29465511000775 12.921753836008312))"
AEA103,17/12/2023,,6.08,12.92206,103.29472,"POLYGON ((103.29465511000775 12.921753836008312, 103.29441859504992 12.921651361313979, 103.29438502224788 12.921712367265497, 103.29421685897431 12.922103356321688, 103.2944899239795 12.922224117014027, 103.2948585108581 12.922376717408776, 103.29508052357112 12.922476723046033, 103.2952782281549 12.92202471490636, 103.29465511000775 12.921753836008312))"
AEA103,18/09/2023,15/12/2023,4.91,12.92206,103.29472,"POLYGON ((103.29465511000775 12.921753836008312, 103.29441859504992 12.921651361313979, 103.29438502224788 12.921712367265497, 103.29421685897431 12.922103356321688, 103.2944899239795 12.922224117014027, 103.2948585108581 12.922376717408776, 103.29508052357112 12.922476723046033, 103.2952782281549 12.92202471490636, 103.29465511000775 12.921753836008312))"
AEA104,11/05/2023,08/09/2023,6.09,12.93775,103.23913,
AEA104,18/09/2023,19/12/2023,4.73,12.93775,103.23913,
AEA105,11/05/2023,05/09/2023,5.33,12.9364721,103.2369118,
AEA105,18/09/2023,,4,12.9364721,103.2369118,
AEA106,11/05/2023,08/09/2023,6.46,12.91595,103.28208,"POLYGON ((103.28168399409927 12.915552079091706, 103.28165975044664 12.915765916033058, 103.28163172031032 12.916014457788558, 103.28159404223273 12.916295639586693, 103.28214384625086 12.916406464433852, 103.2823195511964 12.916416697946923, 103.28240010219808 12.91604605155185, 103.28242455242035 12.91589315001987, 103.2824745665041 12.915709804093844, 103.28168399409927 12.915552079091706))"
AEA106,14/08/2024,29/12/2024,8.14,12.91595,103.28208,"POLYGON ((103.28168399409927 12.915552079091706, 103.28165975044664 12.915765916033058, 103.28163172031032 12.916014457788558, 103.28159404223273 12.916295639586693, 103.28214384625086 12.916406464433852, 103.2823195511964 12.916416697946923, 103.28240010219808 12.91604605155185, 103.28242455242035 12.91589315001987, 103.2824745665041 12.915709804093844, 103.28168399409927 12.915552079091706))"
AEA106,18/09/2023,,4,12.91595,103.28208,"POLYGON ((103.28168399409927 12.915552079091706, 103.28165975044664 12.915765916033058, 103.28163172031032 12.916014457788558, 103.28159404223273 12.916295639586693, 103.28214384625086 12.916406464433852, 103.2823195511964 12.916416697946923, 103.28240010219808 12.91604605155185, 103.28242455242035 12.91589315001987, 103.2824745665041 12.915709804093844, 103.28168399409927 12.915552079091706))"
AEA106,21/12/2023,05/03/2024,8.13,12.91595,103.28208,"POLYGON ((103.28168399409927 12.915552079091706, 103.28165975044664 12.915765916033058, 103.28163172031032 12.916014457788558, 103.28159404223273 12.916295639586693, 103.28214384625086 12.916406464433852, 103.2823195511964 12.916416697946923, 103.28240010219808 12.91604605155185, 103.28242455242035 12.91589315001987, 103.2824745665041 12.915709804093844, 103.28168399409927 12.915552079091706))"
AEA107,11/05/2023,07/09/2023,6.57,12.91535,103.2821,"POLYGON ((103.28177902873209 12.914892904543871, 103.28176867750204 12.914953489297275, 103.28172890627285 12.915207693713457, 103.28169399775913 12.915463843371798, 103.28168399409927 12.915552079091706, 103.2824745665041 12.915709804093844, 103.28261547071607 12.915069782011235, 103.28261973728955 12.915052544449631, 103.28177902873209 12.914892904543871))"
AEA107,18/09/2023,,4,12.91535,103.2821,"POLYGON ((103.28177902873209 12.914892904543871, 103.28176867750204 12.914953489297275, 103.28172890627285 12.915207693713457, 103.28169399775913 12.915463843371798, 103.28168399409927 12.915552079091706, 103.2824745665041 12.915709804093844, 103.28261547071607 12.915069782011235, 103.28261973728955 12.915052544449631, 103.28177902873209 12.914892904543871))"
AEA107,21/12/2023,05/03/2024,7.24,12.91535,103.2821,"POLYGON ((103.28177902873209 12.914892904543871, 103.28176867750204 12.914953489297275, 103.28172890627285 12.915207693713457, 103.28169399775913 12.915463843371798, 103.28168399409927 12.915552079091706, 103.2824745665041 12.915709804093844, 103.28261547071607 12.915069782011235, 103.28261973728955 12.915052544449631, 103.28177902873209 12.914892904543871))"
AEA108,11/05/2023,07/09/2023,6.27,12.90708,103.2811,"POLYGON ((103.28063152235345 12.907078271778543, 103.28121476761709 12.90710219686892, 103.28168143510526 12.90709665517991, 103.28174094222261 12.906531819811551, 103.281744888677 12.90649930855307, 103.2817415349573 12.906498580480143, 103.2813154965869 12.90640968222891, 103.28119612290608 12.906396939375396, 103.28094744438064 12.906397695782205, 103.280684220424 12.906386398297357, 103.28063152235345 12.907078271778543))"
AEA108,18/09/2023,09/12/2023,5.19,12.90708,103.2811,"POLYGON ((103.28063152235345 12.907078271778543, 103.28121476761709 12.90710219686892, 103.28168143510526 12.90709665517991, 103.28174094222261 12.906531819811551, 103.281744888677 12.90649930855307, 103.2817415349573 12.906498580480143, 103.2813154965869 12.90640968222891, 103.28119612290608 12.906396939375396, 103.28094744438064 12.906397695782205, 103.280684220424 12.906386398297357, 103.28063152235345 12.907078271778543))"
AEA108,21/12/2023,,6.73,12.90708,103.2811,"POLYGON ((103.28063152235345 12.907078271778543, 103.28121476761709 12.90710219686892, 103.28168143510526 12.90709665517991, 103.28174094222261 12.906531819811551, 103.281744888677 12.90649930855307, 103.2817415349573 12.906498580480143, 103.2813154965869 12.90640968222891, 103.28119612290608 12.906396939375396, 103.28094744438064 12.906397695782205, 103.280684220424 12.906386398297357, 103.28063152235345 12.907078271778543))"
AEA109,01/11/2024,25/01/2025,5,12.932,103.2479,
AEA109,17/05/2023,20/09/2023,5.24,12.932,103.2479,
AEA109,26/09/2023,09/12/2023,4.62,12.932,103.2479,
AEA109,26/10/2024,16/10/2024,2.47,12.932,103.2479,
AEA11,05/10/2023,08/01/2024,6.46,12.9784,103.27286,"POLYGON ((103.272360969582 12.978498588782722, 103.27285605445066 12.978564058265814, 103.27324877316198 12.978621194111634, 103.27330475917822 12.978282918465885, 103.27287301092159 12.978227436830277, 103.27255922935647 12.978181347771557, 103.27239446259387 12.978168773722645, 103.272360969582 12.978498588782722))"
AEA11,07/10/2024,04/10/2024,7.8,12.97886,103.27272,"POLYGON ((103.27285605445066 12.978564058265814, 103.272360969582 12.978498588782722, 103.27231452500534 12.978867539628386, 103.2725288736169 12.978904358911848, 103.27274912770523 12.978933564203883, 103.27274498818501 12.978967975415559, 103.2731884889641 12.979016839033795, 103.27324877316198 12.978621194111634, 103.27285605445066 12.978564058265814))"
AEA11,10/05/2022,,3.18,12.9784,103.27286,"POLYGON ((103.272360969582 12.978498588782722, 103.27285605445066 12.978564058265814, 103.27324877316198 12.978621194111634, 103.27330475917822 12.978282918465885, 103.27287301092159 12.978227436830277, 103.27255922935647 12.978181347771557, 103.27239446259387 12.978168773722645, 103.272360969582 12.978498588782722))"
AEA11,11/06/2024,04/01/2025,7.24,12.97886,103.27272,"POLYGON ((103.27285605445066 12.978564058265814, 103.272360969582 12.978498588782722, 103.27231452500534 12.978867539628386, 103.2725288736169 12.978904358911848, 103.27274912770523 12.978933564203883, 103.27274498818501 12.978967975415559, 103.2731884889641 12.979016839033795, 103.27324877316198 12.978621194111634, 103.27285605445066 12.978564058265814))"
AEA11,15/10/2022,,4.59,12.9784,103.27286,"POLYGON ((103.272360969582 12.978498588782722, 103.27285605445066 12.978564058265814, 103.27324877316198 12.978621194111634, 103.27330475917822 12.978282918465885, 103.27287301092159 12.978227436830277, 103.27255922935647 12.978181347771557, 103.27239446259387 12.978168773722645, 103.272360969582 12.978498588782722))"
AEA11,20/05/2023,15/09/2023,6.68,12.9784,103.27286,"POLYGON ((103.272360969582 12.978498588782722, 103.27285605445066 12.978564058265814, 103.27324877316198 12.978621194111634, 103.27330475917822 12.978282918465885, 103.27287301092159 12.978227436830277, 103.27255922935647 12.978181347771557, 103.27239446259387 12.978168773722645, 103.272360969582 12.978498588782722))"
AEA110,17/05/2023,19/09/2023,5.08,12.93255,103.24761,
AEA110,26/09/2023,09/12/2023,4.35,12.93255,103.24761,
AEA111,17/05/2023,19/09/2023,4.92,12.93323,103.24732,
AEA111,26/09/2023,09/12/2023,4.44,12.93323,103.24732,
AEA112,15/05/2023,11/09/2023,5.83,12.91719,103.28426,"POLYGON ((103.28416930687169 12.916667278062864, 103.28393973587994 12.917636784696827, 103.28422260872448 12.917771615943359, 103.28441129963527 12.917845560004375, 103.28463803418438 12.917005658904268, 103.28469811226455 12.91677645975405, 103.28416930687169 12.916667278062864))"
AEA112,18/06/2024,20/09/2024,4.69,12.91723,103.2843102,"POLYGON ((103.28416930687169 12.916667278062864, 103.28393973587994 12.917636784696827, 103.28422260872448 12.917771615943359, 103.28441129963527 12.917845560004375, 103.28463803418438 12.917005658904268, 103.28469811226455 12.91677645975405, 103.28416930687169 12.916667278062864))"
AEA112,18/09/2023,26/12/2023,3.97,12.91719,103.28426,"POLYGON ((103.28416930687169 12.916667278062864, 103.28393973587994 12.917636784696827, 103.28422260872448 12.917771615943359, 103.28441129963527 12.917845560004375, 103.28463803418438 12.917005658904268, 103.28469811226455 12.91677645975405, 103.28416930687169 12.916667278062864))"
AEA112,26/10/2024,14/12/2024,5.98,12.91723,103.2843102,"POLYGON ((103.28416930687169 12.916667278062864, 103.28393973587994 12.917636784696827, 103.28422260872448 12.917771615943359, 103.28441129963527 12.917845560004375, 103.28463803418438 12.917005658904268, 103.28469811226455 12.91677645975405, 103.28416930687169 12.916667278062864))"
AEA112,28/12/2023,,4.94,12.91719,103.28426,"POLYGON ((103.28416930687169 12.916667278062864, 103.28393973587994 12.917636784696827, 103.28422260872448 12.917771615943359, 103.28441129963527 12.917845560004375, 103.28463803418438 12.917005658904268, 103.28469811226455 12.91677645975405, 103.28416930687169 12.916667278062864))"
AEA113,05/10/2024,27/09/2024,5.31,12.9164847,103.2830038,"POLYGON ((103.28284960152659 12.91612924476667, 103.28271548211406 12.916698423598877, 103.28315399825347 12.91684862235711, 103.283291459889 12.916260338592812, 103.28284960152659 12.91612924476667))"
AEA113,12/09/2023,12/12/2023,4.15,12.91663,103.28299,"POLYGON ((103.28284960152659 12.91612924476667, 103.28271548211406 12.916698423598877, 103.28315399825347 12.91684862235711, 103.283291459889 12.916260338592812, 103.28284960152659 12.91612924476667))"
AEA113,15/05/2023,05/09/2023,5.31,12.91663,103.28299,"POLYGON ((103.28284960152659 12.91612924476667, 103.28271548211406 12.916698423598877, 103.28315399825347 12.91684862235711, 103.283291459889 12.916260338592812, 103.28284960152659 12.91612924476667))"
AEA113,15/12/2023,,5.16,12.91663,103.28299,"POLYGON ((103.28284960152659 12.91612924476667, 103.28271548211406 12.916698423598877, 103.28315399825347 12.91684862235711, 103.283291459889 12.916260338592812, 103.28284960152659 12.91612924476667))"
AEA113,20/06/2024,27/12/2024,6.99,12.9164847,103.2830038,"POLYGON ((103.28284960152659 12.91612924476667, 103.28271548211406 12.916698423598877, 103.28315399825347 12.91684862235711, 103.283291459889 12.916260338592812, 103.28284960152659 12.91612924476667))"
AEA114,03/06/2023,04/10/2023,7.84,12.9713,103.2627,"POLYGON ((103.26253597406149 12.97105891582695, 103.26246142872317 12.971343110101953, 103.26237637965205 12.971791391284327, 103.26313403064225 12.97191354120977, 103.26316589819896 12.971369624598301, 103.26318297046707 12.971102265685595, 103.26257138386927 12.97084792911689, 103.26253597406149 12.97105891582695))"
AEA114,10/10/2023,13/01/2024,6.76,12.9713,103.2627,"POLYGON ((103.26253597406149 12.97105891582695, 103.26246142872317 12.971343110101953, 103.26237637965205 12.971791391284327, 103.26313403064225 12.97191354120977, 103.26316589819896 12.971369624598301, 103.26318297046707 12.971102265685595, 103.26257138386927 12.97084792911689, 103.26253597406149 12.97105891582695))"
AEA114,17/10/2024,28/09/2024,6.85,12.97153,103.26273,"POLYGON ((103.26253597406149 12.97105891582695, 103.26246142872317 12.971343110101953, 103.26237637965205 12.971791391284327, 103.26313403064225 12.97191354120977, 103.26316589819896 12.971369624598301, 103.26318297046707 12.971102265685595, 103.26257138386927 12.97084792911689, 103.26253597406149 12.97105891582695))"
AEA114,26/06/2024,20/01/2025,7.42,12.97153,103.26273,"POLYGON ((103.26253597406149 12.97105891582695, 103.26246142872317 12.971343110101953, 103.26237637965205 12.971791391284327, 103.26313403064225 12.97191354120977, 103.26316589819896 12.971369624598301, 103.26318297046707 12.971102265685595, 103.26257138386927 12.97084792911689, 103.26253597406149 12.97105891582695))"
AEA115,03/06/2023,04/10/2023,8.89,12.9715,103.2639,"POLYGON ((103.26354217402573 12.971966775379853, 103.26407765209089 12.9720564450681, 103.2641763299264 12.97166794744927, 103.26424940847447 12.971426216935923, 103.26427958574968 12.97129440367177, 103.263936965382 12.971245051815815, 103.26386690460953 12.97122047734534, 103.26354217402573 12.971966775379853))"
AEA115,10/10/2023,13/01/2024,6.11,12.9715,103.2639,"POLYGON ((103.26354217402573 12.971966775379853, 103.26407765209089 12.9720564450681, 103.2641763299264 12.97166794744927, 103.26424940847447 12.971426216935923, 103.26427958574968 12.97129440367177, 103.263936965382 12.971245051815815, 103.26386690460953 12.97122047734534, 103.26354217402573 12.971966775379853))"
AEA115,17/10/2024,05/10/2024,6.2,12.97179,103.26389,"POLYGON ((103.26354217402573 12.971966775379853, 103.26407765209089 12.9720564450681, 103.2641763299264 12.97166794744927, 103.26424940847447 12.971426216935923, 103.26427958574968 12.97129440367177, 103.263936965382 12.971245051815815, 103.26386690460953 12.97122047734534, 103.26354217402573 12.971966775379853))"
AEA115,26/06/2024,20/01/2025,6.39,12.97179,103.26389,"POLYGON ((103.26354217402573 12.971966775379853, 103.26407765209089 12.9720564450681, 103.2641763299264 12.97166794744927, 103.26424940847447 12.971426216935923, 103.26427958574968 12.97129440367177, 103.263936965382 12.971245051815815, 103.26386690460953 12.97122047734534, 103.26354217402573 12.971966775379853))"
AEA116,03/06/2023,04/10/2023,7.34,12.9716,103.2651,"POLYGON ((103.26471398116705 12.971612988192504, 103.26449161661054 12.972114308448404, 103.26560847810615 12.972257214515691, 103.26566702362199 12.97191666258429, 103.26570746297084 12.97165519872492, 103.26576670998745 12.971494880122487, 103.26536720556098 12.971433671400536, 103.26480581851486 12.971366790751107, 103.26471398116705 12.971612988192504))"
AEA116,10/10/2023,13/01/2024,6.23,12.9716,103.2651,"POLYGON ((103.26471398116705 12.971612988192504, 103.26449161661054 12.972114308448404, 103.26560847810615 12.972257214515691, 103.26566702362199 12.97191666258429, 103.26570746297084 12.97165519872492, 103.26576670998745 12.971494880122487, 103.26536720556098 12.971433671400536, 103.26480581851486 12.971366790751107, 103.26471398116705 12.971612988192504))"
AEA116,17/10/2024,28/09/2024,6.58,12.97188,103.26505,"POLYGON ((103.26471398116705 12.971612988192504, 103.26449161661054 12.972114308448404, 103.26560847810615 12.972257214515691, 103.26566702362199 12.97191666258429, 103.26570746297084 12.97165519872492, 103.26576670998745 12.971494880122487, 103.26536720556098 12.971433671400536, 103.26480581851486 12.971366790751107, 103.26471398116705 12.971612988192504))"
AEA116,26/06/2024,20/01/2025,8.3,12.97188,103.26505,"POLYGON ((103.26471398116705 12.971612988192504, 103.26449161661054 12.972114308448404, 103.26560847810615 12.972257214515691, 103.26566702362199 12.97191666258429, 103.26570746297084 12.97165519872492, 103.26576670998745 12.971494880122487, 103.26536720556098 12.971433671400536, 103.26480581851486 12.971366790751107, 103.26471398116705 12.971612988192504))"
AEA117,23/09/2023,14/12/2023,5.42,12.93485,103.26286,"POLYGON ((103.26293806047558 12.934413848504496, 103.26267614216448 12.934388078111548, 103.26267294485666 12.934418532531103, 103.26255766021583 12.935480571503222, 103.26250639752774 12.936002519174703, 103.26256884082743 12.935998705187965, 103.262988023271 12.935970502045908, 103.26300525720173 12.935965695965534, 103.26308429078716 12.935361349354054, 103.26310908696087 12.935160622314056, 103.26309836585132 12.935159594302872, 103.2630991006662 12.935053413350323, 103.2631783914861 12.934447438287796, 103.26293806047558 12.934413848504496))"
AEA117,25/05/2023,19/09/2023,5.12,12.93485,103.26286,"POLYGON ((103.26293806047558 12.934413848504496, 103.26267614216448 12.934388078111548, 103.26267294485666 12.934418532531103, 103.26255766021583 12.935480571503222, 103.26250639752774 12.936002519174703, 103.26256884082743 12.935998705187965, 103.262988023271 12.935970502045908, 103.26300525720173 12.935965695965534, 103.26308429078716 12.935361349354054, 103.26310908696087 12.935160622314056, 103.26309836585132 12.935159594302872, 103.2630991006662 12.935053413350323, 103.2631783914861 12.934447438287796, 103.26293806047558 12.934413848504496))"
AEA118,01/10/2023,05/01/2024,6.1,12.95242,103.26499,"POLYGON ((103.26479286595988 12.952194507527315, 103.26476477274319 12.952431385643001, 103.26471477150413 12.952852987423025, 103.2652014489036 12.95288530993935, 103.26560726846546 12.95291087572034, 103.2656991015842 12.951934071758611, 103.2652694589836 12.951882104383321, 103.2648361322625 12.951829690667216, 103.26479286595988 12.952194507527315))"
AEA118,05/06/2023,22/09/2023,6.54,12.95242,103.26499,"POLYGON ((103.26479286595988 12.952194507527315, 103.26476477274319 12.952431385643001, 103.26471477150413 12.952852987423025, 103.2652014489036 12.95288530993935, 103.26560726846546 12.95291087572034, 103.2656991015842 12.951934071758611, 103.2652694589836 12.951882104383321, 103.2648361322625 12.951829690667216, 103.26479286595988 12.952194507527315))"
AEA119,09/09/2023,09/12/2023,5.2,12.90058,103.2841,"POLYGON ((103.28452279760779 12.900272906241943, 103.28399118378151 12.899936985848452, 103.28382843130952 12.899862005448812, 103.28379687572303 12.900175151462179, 103.28372770851075 12.900665454373364, 103.28366997358812 12.90098076696825, 103.2835648300885 12.901598545175913, 103.28379001492983 12.901626528956331, 103.28407897416362 12.901080748199075, 103.28452279760779 12.900272906241943))"
AEA119,13/12/2023,,6.61,12.90058,103.2841,"POLYGON ((103.28452279760779 12.900272906241943, 103.28399118378151 12.899936985848452, 103.28382843130952 12.899862005448812, 103.28379687572303 12.900175151462179, 103.28372770851075 12.900665454373364, 103.28366997358812 12.90098076696825, 103.2835648300885 12.901598545175913, 103.28379001492983 12.901626528956331, 103.28407897416362 12.901080748199075, 103.28452279760779 12.900272906241943))"
AEA119,15/05/2023,05/09/2023,7.38,12.90058,103.2841,"POLYGON ((103.28452279760779 12.900272906241943, 103.28399118378151 12.899936985848452, 103.28382843130952 12.899862005448812, 103.28379687572303 12.900175151462179, 103.28372770851075 12.900665454373364, 103.28366997358812 12.90098076696825, 103.2835648300885 12.901598545175913, 103.28379001492983 12.901626528956331, 103.28407897416362 12.901080748199075, 103.28452279760779 12.900272906241943))"
AEA12,10/05/2022,,3.33,12.9746,103.27317,"POLYGON ((103.27382729872544 12.975065518723747, 103.27393410948396 12.974373373801411, 103.27394002852861 12.974335017608134, 103.27316711293764 12.97421738821453, 103.27253327214177 12.974131675006362, 103.27247001328148 12.97447793797177, 103.27240294151136 12.97486779793629, 103.27254552716975 12.974899739695381, 103.2732682875137 12.97499178315612, 103.27382729872544 12.975065518723747))"
AEA12,15/10/2022,,5.57,12.9746,103.27317,"POLYGON ((103.27382729872544 12.975065518723747, 103.27393410948396 12.974373373801411, 103.27394002852861 12.974335017608134, 103.27316711293764 12.97421738821453, 103.27253327214177 12.974131675006362, 103.27247001328148 12.97447793797177, 103.27240294151136 12.97486779793629, 103.27254552716975 12.974899739695381, 103.2732682875137 12.97499178315612, 103.27382729872544 12.975065518723747))"
AEA121,17/05/2023,19/09/2023,4.68,12.9313,103.2479,
AEA121,18/06/2024,25/01/2025,5,12.93138,103.24827,
AEA121,26/09/2023,26/12/2023,5.19,12.9313,103.2479,
AEA121,26/10/2024,16/10/2024,4.17,12.93138,103.24827,
AEA122,17/05/2023,13/09/2023,4.42,12.92388,103.26959,"POLYGON ((103.27026388004609 12.923909051008915, 103.27026275936686 12.923717716931524, 103.26933583509818 12.923426975989088, 103.26868596714282 12.923220179992887, 103.26855532157957 12.923497693715115, 103.2683799506754 12.923896881330208, 103.2696461890174 12.924234341100675, 103.26970844426413 12.92425771289822, 103.26993221534308 12.924335726501285, 103.27018517701212 12.924423499672777, 103.27060376663529 12.92453532903125, 103.27071809008459 12.924609826805463, 103.27081634144817 12.924040251787575, 103.27026388004609 12.923909051008915))"
AEA122,18/12/2023,,5.38,12.92388,103.26959,"POLYGON ((103.27026388004609 12.923909051008915, 103.27026275936686 12.923717716931524, 103.26933583509818 12.923426975989088, 103.26868596714282 12.923220179992887, 103.26855532157957 12.923497693715115, 103.2683799506754 12.923896881330208, 103.2696461890174 12.924234341100675, 103.26970844426413 12.92425771289822, 103.26993221534308 12.924335726501285, 103.27018517701212 12.924423499672777, 103.27060376663529 12.92453532903125, 103.27071809008459 12.924609826805463, 103.27081634144817 12.924040251787575, 103.27026388004609 12.923909051008915))"
AEA122,20/09/2023,15/12/2023,5.56,12.92388,103.26959,"POLYGON ((103.27026388004609 12.923909051008915, 103.27026275936686 12.923717716931524, 103.26933583509818 12.923426975989088, 103.26868596714282 12.923220179992887, 103.26855532157957 12.923497693715115, 103.2683799506754 12.923896881330208, 103.2696461890174 12.924234341100675, 103.26970844426413 12.92425771289822, 103.26993221534308 12.924335726501285, 103.27018517701212 12.924423499672777, 103.27060376663529 12.92453532903125, 103.27071809008459 12.924609826805463, 103.27081634144817 12.924040251787575, 103.27026388004609 12.923909051008915))"
AEA124,23/09/2024,28/09/2024,6.66,12.97831,103.25595,"POLYGON ((103.25581691110538 12.978151409004093, 103.25571162001847 12.978143049843467, 103.2556498023135 12.978148148724822, 103.25566332933465 12.978186110787535, 103.25575812626455 12.978468376409571, 103.25593130623301 12.978477190867634, 103.25632585468648 12.978522693294781, 103.256375311966 12.978301564746792, 103.25581691110538 12.978151409004093))"
